apex,label,feat_suspicious,feat_length,feat_entropy,feat_faketld,feat_brand_pos,feat_pop_keywords,feat_similar,feat_minus,length,entropy,num_subdomains,subdomain_len,has_www,valid_tlds,has_single_subdomain,has_tld_subdomain,digit_ex_subdomains_ratio,underscore_ratio,has_ip,has_digits,vowel_ratio,digit_ratio,alphabet_cardinality,repeated_char_ratio,consec_consonants_ratio,consec_digit_ratio,1-gram-mean,1-gram-std,1-gram-median,1-gram-max,1-gram-min,1-gram-lower-q,1-gram-upper-q,2-gram-mean,2-gram-std,2-gram-median,2-gram-max,2-gram-min,2-gram-lower-q,2-gram-upper-q,3-gram-mean,3-gram-std,3-gram-median,3-gram-max,3-gram-min,3-gram-lower-q,3-gram-upper-q
027.ac.cn,0,0,-1.3148525163534666,-1.9333801444820733,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,-1.3148525163534666,-1.9333801444820768,1,0.7493593835053715,0,1,0,0,0.0,0.0,0,1,-2.482315795846993,4.057742004506144,-1.7231455620260627,-0.5588697400613298,2.884796213380566,3.0979954180354223,-0.4313056980965438,-0.4695454618731937,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-0.1459887585314441,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
1t-center.ru,0,0,-0.7497215618898784,-0.8104691697458637,0,-1.0,0,-0.549397230089392,1.9975053055083944,-0.7497215618898784,-0.8104691697458652,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,1,-0.9175114710313188,0.8322288942789127,-0.9237330958515928,-0.5588697400613298,1.4173770090511844,-0.2042635134740973,-0.2445539029753716,-0.4284711963094134,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
3wwcorp.com,0,0,-0.9380985467110744,-1.3445750308475557,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,-0.9380985467110744,-1.3445750308475573,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,1,-1.6856881395771954,0.9299717158009504,-1.3234393289388278,1.884474790368709,1.817582246595561,-0.2042635134740973,-0.081146082244345,-0.3686519904499652,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,0.7793670461872463,1.4797413691985437,1.6501474270483858,1.0,1.3407569836737845,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
61hamsitava.com.tr,0,0,0.380540347037298,0.7122332064049692,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,0.380540347037298,0.7122332064049693,1,3.3855469538277325,0,1,0,0,0.0,0.0,0,1,-0.604550606068184,1.1906192398597164,0.675091836497347,-0.5588697400613298,0.6836674068864942,1.4468659522806608,-0.0434365851525698,0.0843404671720023,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
77980.bodis.com,0,0,-0.1845906074262901,0.5075043657017455,0,-1.0,0,-0.1692415203976615,-0.3423158324890221,-0.1845906074262901,0.5075043657017456,1,1.4084062760859617,0,1,0,0,0.0,0.0,0,1,-1.4808410279649613,4.057742004506144,0.275385603410112,1.2329162489206968,0.5369254864535552,3.758447204337325,-0.5713695444374239,-0.5911768527359978,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-0.6086666608907894,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
abtc.ng,0,0,-1.6916064859958586,-1.677629821884771,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,-1.6916064859958586,-1.6776298218847698,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-2.1246462358891254,-0.2429421424634974,-1.7231455620260627,-0.5588697400613298,2.675164898476368,-0.2042635134740973,-1.5518164688235816,-2.132802727108814,-0.3674315927680718,-1.7882253857004566,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
academysport.tv,0,0,-0.1845906074262901,0.9239966705653532,0,-1.0,0,-0.549397230089392,-0.3423158324890221,-0.1845906074262901,0.923996670565352,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-0.7297349520534386,-0.2429421424634974,0.675091836497347,-0.5588697400613298,0.5369254864535552,-0.2042635134740973,-0.9484645153551782,-0.8527345070588381,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
accordscroises.com,0,0,0.380540347037298,-0.8070764913440476,0,-1.0,0,0.2109141892940689,-0.3423158324890221,0.380540347037298,-0.8070764913440532,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.0213711238580852,-0.2429421424634974,-0.5240268627643578,0.9342852507570258,-0.0500421952781967,-0.2042635134740973,1.585613689212123,1.7370266240396917,-0.3674315927680718,1.298878291484309,1,-0.0775515280790167,2.167400753265282,0.6020020174127663,1.0815996564963648,1.0,1.3407569836737845,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
actionairdebrecen.hu,0,0,0.7572943166796902,0.7489443014713808,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,0.7572943166796902,0.7489443014713781,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,1.3358067567032517,-0.2429421424634974,0.675091836497347,-0.5588697400613298,-0.3435260361440727,-0.2042635134740973,0.5599153683158344,0.1176828372928906,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
adents.ru,0,0,-1.3148525163534666,-0.545072461603388,0,-1.0,0,0.2109141892940689,-0.3423158324890221,-1.3148525163534666,-0.545072461603388,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.0213711238580852,-0.2429421424634974,-0.9237330958515928,-0.5588697400613298,-0.0500421952781967,-0.2042635134740973,-1.5518164688235816,-2.132802727108814,-0.3674315927680718,-1.7882253857004566,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
ado-design.net,0,0,-0.3729675922474862,0.1073371989592567,0,-1.0,0,-0.1692415203976615,1.9975053055083944,-0.3729675922474862,0.1073371989592553,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.2896232938264862,-0.2429421424634974,-0.1243206296771229,-0.5588697400613298,-0.1548578527302965,-0.2042635134740973,-0.4822380058568641,-0.5406183704345836,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-0.1459887585314441,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
aesthetik-akademie.de,0,0,0.9456713015008864,-0.3508512604153216,0,-1.0,0,1.7315370280609907,1.9975053055083944,0.9456713015008864,-0.3508512604153231,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,1.630884143668492,-0.2429421424634974,-0.1243206296771229,-0.5588697400613298,-1.098198769799184,-0.2042635134740973,2.013445074398809,2.029269914639995,3.02340997947327,2.3279128505458977,1,-0.0775515280790167,0.7793670461872463,0.4238143294562542,0.9411619931002652,1.0,1.3407569836737845,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
airgoon.info,0,1,-0.7497215618898784,-1.527587573130868,0,-1.0,0,0.2109141892940689,-0.3423158324890221,-0.7497215618898784,-1.5275875731308683,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,1.8991363136368944,-0.2429421424634974,-1.3234393289388278,1.6808627461662051,0.3168126058041487,-0.2042635134740973,0.4090773799487338,0.4439043483776057,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
alexandradonaldson.com,0,0,1.1340482863220824,0.0377067252763838,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,1.1340482863220824,0.0377067252763838,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.3627829765451411,-0.2429421424634974,0.275385603410112,-0.5588697400613298,-1.1839570349872648,-0.2042635134740973,1.7163399457969435,1.666632392659421,-0.3674315927680718,1.298878291484309,1,-0.0775515280790167,2.630078655624627,1.3741486652243158,1.5271257493700336,1.0,1.3407569836737845,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
allolouis.fr,0,0,-0.7497215618898784,-1.0069721920513606,0,-1.0,0,-0.1692415203976615,-0.3423158324890221,-0.7497215618898784,-1.0069721920513597,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.96025371874749,-0.2429421424634974,-0.9237330958515928,1.6808627461662051,0.3168126058041487,-0.2042635134740973,-0.2445539029753716,0.2774860385277968,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,-1.0713445632501344,1.2791152316475096,1.533443441106534,1.0,1.3407569836737845,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
al-muwainea.com,0,0,-0.1845906074262901,0.3503019478573483,0,-1.0,0,-0.1692415203976615,1.9975053055083944,-0.1845906074262901,0.3503019478573483,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,1.5235832756811325,-0.2429421424634974,0.275385603410112,-0.5588697400613298,-1.223977558741702,-0.2042635134740973,-0.5713695444374239,-0.0140406220340462,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
amarrowescape.blog,0,0,0.380540347037298,0.7122332064049692,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,0.380540347037298,0.7122332064049693,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.6472928537843552,-0.2429421424634974,0.675091836497347,0.9342852507570258,-0.783751797442888,-0.2042635134740973,-0.0434365851525698,0.084340467172002,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
ambaraexport.com,0,0,0.0037863773949059,-0.051858537188569,0,-1.0,0,-0.9295529397811224,-0.3423158324890221,0.0037863773949059,-0.0518585371885718,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.4908124213027877,-0.2429421424634974,-0.1243206296771229,-0.5588697400613298,0.3168126058041487,-0.2042635134740973,0.2308143027876144,0.2108291884336607,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
andredelvechio.com.br,0,0,0.9456713015008864,1.0785563503378175,0,-1.0,0,0.5910698989857993,-0.3423158324890221,0.9456713015008864,1.078556350337814,1,4.374117292698618,0,1,0,0,1.0,0.0,0,0,0.0213711238580852,-0.2429421424634974,1.074798069584582,-0.5588697400613298,0.7884830643385925,-0.2042635134740973,0.4090773799487338,0.084340467172002,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,0.7793670461872463,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
angelsclubnft.com,0,0,0.1921633622161019,1.2185537806344515,0,-1.0,0,0.5910698989857993,-0.3423158324890221,0.1921633622161019,1.2185537806344475,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-1.0831966348353317,-0.2429421424634974,1.074798069584582,-0.5588697400613298,1.6763333392269577,-0.2042635134740973,-0.7114333907783039,-0.6813417964876686,-0.3674315927680718,-0.759190826638868,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
antipod.ch,0,0,-1.1264755315322703,-0.0702615710884353,0,-1.0,0,-0.549397230089392,-0.3423158324890221,-1.1264755315322703,-0.0702615710884367,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,-0.3541819140976764,-0.2429421424634974,-0.5240268627643578,-0.5588697400613298,0.9771512477523702,-0.2042635134740973,-1.5518164688235816,-2.132802727108814,-0.3674315927680718,-1.7882253857004566,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
apparatu.com,0,0,-0.7497215618898784,-1.0069721920513606,0,-1.0,0,-0.549397230089392,-0.3423158324890221,-0.7497215618898784,-1.0069721920513597,0,-0.2392109553655139,0,1,0,0,0.0,0.0,0,0,0.96025371874749,-0.2429421424634974,-0.9237330958515928,1.6808627461662051,-0.783751797442888,-0.2042635134740973,-0.2445539029753716,0.2774860385277968,-0.3674315927680718,0.2698437324227206,1,-0.0775515280790167,-1.0713445632501344,-0.5265200063118034,-0.6240436551596986,1.0,-0.6405596761071882,1,1.0,-0.0718686600169783,-0.1643574894301382,-0.2026865085532048,1.0,-0.2120525406649538,1,1.0,-0.0352488502186279
