domain,label,feat_suspicious,feat_length,feat_entropy,feat_faketld,feat_brand_pos,feat_pop_keywords,feat_similar,feat_minus
meubmg.onelink.me,0,0,0.10576923076923077,0.4638387243671087,0.0,0.0,0.0,0.42857142857142855,0.0
mn.backup-leader.com,1,0,0.13461538461538464,0.6274364945276376,0.0,0.0,0.0,0.0,0.125
jindumilan.cn,1,0,0.0673076923076923,0.4292315166009768,0.0,0.0,0.0,0.17857142857142855,0.0
def3h.leovirals.com,1,0,0.125,0.6289658741655271,0.0,0.0,0.0,0.10714285714285714,0.0
wariabxwoy.tansotri.com,1,0,0.1634615384615385,0.5821073948514301,0.0,0.0,0.0,0.3571428571428571,0.0
uwannuleringsformulier.cardstop-verificatie.com,1,0,0.3942307692307692,0.7224316904875732,0.0,0.0,0.0,0.21428571428571427,0.125
dasktake.com,1,0,0.057692307692307696,0.4511193069805952,0.0,0.0,0.0,0.17857142857142855,0.0
007880c7.cbdsuppy.guru,1,0,0.15384615384615385,0.5503599755373478,0.0,0.0,0.0,0.10714285714285714,0.0
xolxol.phwww.runescape.com-de.ru:443,1,0,0.28846153846153844,0.7327524884322569,0.5,0.2692307692307692,0.0,0.3214285714285714,0.125
pszx.tempbigh.com,1,0,0.10576923076923077,0.6004133752703893,0.0,0.0,0.0,0.17857142857142855,0.0
www.wp.coronavirusstat.ru,0,0,0.1826923076923077,0.5413451590390304,0.0,0.0,0.0,0.03571428571428571,0.0
anahs.xyz,1,1,0.02884615384615384,0.3571555216758988,0.0,0.0,0.0,0.17857142857142855,0.0
graphic.designcrowd.com,0,0,0.1634615384615385,0.6191386240182453,0.0,0.0,0.0,0.0,0.0
community.auspost.com.au,0,0,0.17307692307692307,0.5152771030685623,0.0,0.0,0.0,0.21428571428571427,0.0
e02x4.tempbigh.com,1,0,0.11538461538461538,0.6319699766457989,0.0,0.0,0.0,0.14285714285714285,0.0
dp698.svcoding.com,1,0,0.11538461538461538,0.5976181697745613,0.0,0.0,0.0,0.0,0.0
www.3u.com,0,0,0.038461538461538464,0.26401503178693964,0.0,0.0,0.0,0.0,0.0
payee-verifier.com,1,0,0.11538461538461538,0.5289145560320863,0.0,0.0,0.0,0.0,0.125
vote.ent.163.com,0,0,0.09615384615384616,0.47467479692237613,0.0,0.0,0.0,0.17857142857142855,0.0
mqf0c.sepehrms.com,1,0,0.11538461538461538,0.515948681190171,0.0,0.0,0.0,0.07142857142857142,0.0
normative-europe2020.com,1,0,0.17307692307692307,0.6377813359451481,0.0,0.0,0.0,0.03571428571428571,0.125
xpzkhxdkezjd.enginesecures.com,1,0,0.23076923076923078,0.6783379839047634,0.0,0.0,0.0,0.0,0.0
rewardsspin.club,1,1,0.09615384615384616,0.6051987543099573,0.0,0.0,0.0,0.21428571428571427,0.0
serviziappintesa.com,1,0,0.13461538461538464,0.5848505809858002,0.0,0.0,0.0,0.10714285714285714,0.0
www.gmarket.co.kr,0,0,0.10576923076923077,0.4638387243671087,0.0,0.09615384615384616,0.0,0.07142857142857142,0.0
unusedfivehead.com,1,0,0.11538461538461538,0.5846522949326463,0.0,0.0,0.0,0.17857142857142855,0.0
vcfyg.ativarmeuacess0.me,1,0,0.17307692307692307,0.6120174807917196,0.0,0.0,0.0,0.0,0.0
aiveera.com,0,0,0.04807692307692309,0.4029407188198617,0.0,0.0,0.0,0.03571428571428571,0.0
ecsgo.xyz,1,1,0.02884615384615384,0.42585913541837384,0.0,0.0,0.0,0.10714285714285714,0.0
dgdfhfgjhfgj.agilecrm.com,0,0,0.1826923076923077,0.5754138898725001,0.0,0.0,0.0,0.10714285714285714,0.0
z9nk0.svcoding.com,1,0,0.11538461538461538,0.5976181697745613,0.0,0.0,0.0,0.0,0.0
lnstagramhelpbussines-com.ml,1,1,0.21153846153846156,0.6725104639013351,0.5,0.0,0.0,0.39285714285714285,0.125
docs.cloudlinux.com,0,0,0.125,0.4742236852687878,0.0,0.0,0.0,0.03571428571428571,0.0
tag-unfollow-96484254.viesurlenil.com,1,0,0.2980769230769231,0.809833392291283,0.0,0.0,0.0,0.5714285714285714,0.25
kkasz.jaysbrand.com,1,0,0.125,0.5841385967530663,0.0,0.0,0.0,0.21428571428571427,0.0
cbbsxpbhtvyanvjdrs.top,1,1,0.15384615384615385,0.6452864900010429,0.0,0.0,0.0,0.0,0.0
p6ap9.awaykart.com,1,0,0.11538461538461538,0.5289145560320863,0.0,0.0,0.0,0.14285714285714285,0.0
www.security-payeeaddon.com,1,0,0.20192307692307693,0.6695761879939115,0.0,0.0,0.2,0.0,0.125
h64qc.tempbigh.com,1,0,0.11538461538461538,0.5976181697745613,0.0,0.0,0.0,0.14285714285714285,0.0
ce42.tempbigh.com,1,0,0.10576923076923077,0.5640408738773144,0.0,0.0,0.0,0.14285714285714285,0.0
retrieval.covid-notification.alpha.canada.ca,0,0,0.3653846153846154,0.6005660962985697,0.0,0.0,0.0,0.14285714285714285,0.125
thumbnails.echo360.org.au,0,0,0.1826923076923077,0.723813695556246,0.0,0.0,0.0,0.0,0.0
account-verify.cyou,1,0,0.125,0.5841385967530663,0.0,0.0,0.4,0.03571428571428571,0.125
needupdateto.importantnoticeamazon.xyz,1,1,0.3076923076923077,0.6158699128921108,0.0,0.5576923076923078,0.2,0.17857142857142855,0.0
xcbbpcvzkszb.jbcxfbox.com,1,0,0.1826923076923077,0.5060414268423254,0.0,0.0,0.0,0.14285714285714285,0.0
accumulationtape.com,1,0,0.13461538461538464,0.5113480412598492,0.0,0.0,0.0,0.03571428571428571,0.0
verify-outgoingpayee.com,1,0,0.17307692307692307,0.6635451910985759,0.0,0.0,0.2,0.03571428571428571,0.125
qs.4399.com,0,0,0.04807692307692309,0.4029407188198617,0.0,0.0,0.0,0.0,0.0
login-hompage.com,1,0,0.10576923076923077,0.5503123005152866,0.0,0.0,0.2,0.0,0.125
ra3fw.bicharter.com,1,0,0.125,0.5841385967530663,0.0,0.0,0.0,0.07142857142857142,0.0
nycxq.addroits.com,1,0,0.11538461538461538,0.5976181697745613,0.0,0.0,0.0,0.03571428571428571,0.0
www.ads.live,1,0,0.057692307692307696,0.38014278441086624,0.0,0.17307692307692307,0.0,0.14285714285714285,0.0
dnwar.f5ds1jkkk4d.info,1,1,0.15384615384615385,0.606572023144827,0.0,0.0,0.0,0.14285714285714285,0.0
